id,variety_name,category,color,image_url
,aunt ruby’s german,beefsteak,green,https://www.seedsavers.org/site/img/seo-images/0249-aunt-rubys-german-green-tomato-organic.jpg
19,amish paste,canning,red,https://www.seedsavers.org/site/img/seo-images/0107A-amish-paste-tomato-organic.jpg
52,austin's red,pear,red,https://www.seedsavers.org/site/img/seo-images/1227C-austins-red-pear-tomato.jpg
https://www.seedsavers.org/site/img/seo-images/0335-baker-family-heirloom-tomato-organic.JPG,baker family,heirloom,red-orange,https://www.seedsavers.org/site/img/seo-images/0335-baker-family-heirloom-tomato-organic.jpg
53,beam's yellow,pear,yellow,https://www.seedsavers.org/site/img/seo-images/0661-beams-yellow-pear-tomato.jpg
26,black cherry,cherry,black,https://www.seedsavers.org/site/img/seo-images/1609-black-cherry-tomato-organic.jpg
41,black from tula,heirloom,black,https://www.seedsavers.org/site/img/seo-images/0251-black-from-tula-tomato.jpg
42,black krim,heirloom,black,https://www.seedsavers.org/site/img/seo-images/0662-black-krim-tomato.jpg
55,black plum,plum,black,https://www.seedsavers.org/site/img/seo-images/0018-black-plum-tomato.jpg
43,black sea man,heirloom,black,https://www.seedsavers.org/site/img/seo-images/0019-black-sea-man-tomato-organic.jpg
27,blondkopfchen,cherry,gold,https://www.seedsavers.org/site/img/seo-images/1228-blondkopfchen-tomato-organic.jpg
64,brandywine,slicer,red,https://www.seedsavers.org/site/img/seo-images/0427-brandywine-sudduths-strain-tomato.jpg
44,cherokee purple,heirloom,purple,https://www.seedsavers.org/site/img/seo-images/0253-cherokee-purple-tomato-organic.jpg
28,cherry roma,cherry,red,https://www.seedsavers.org/site/img/seo-images/0974A-cherry-roma-tomato-organic.jpg
59,cream sausage,roma,red,https://www.seedsavers.org/site/img/seo-images/1314-tomato-cream-sausage.jpg
,david davidson’s,slicer,yellow,https://www.seedsavers.org/site/img/seo-images/0027-david-davidsons-tomato-organic.jpg
18,crynkovic yugoslavian,beefsteak,pink,https://www.seedsavers.org/site/img/seo-images/0663-crnkovic-yugoslavian-tomato.jpg
45,dester,heirloom,red,https://www.seedsavers.org/site/img/seo-images/1552-dester-tomato-organic.jpg
1,dr. wyche's,beefsteak,yellow,https://www.seedsavers.org/site/img/seo-images/0975C-dr-wyche's-yellow-tomato.jpg
,earliana,slicer,red,https://www.seedsavers.org/site/img/seo-images/1451-earliana-tomato-organic.jpg
65,eva purple ball,slicer,red,https://www.seedsavers.org/site/img/seo-images/1387-eva-purple-ball-tomato.jpg
25,federle,canning,red,https://www.seedsavers.org/site/img/seo-images/0439-federle-tomato.jpg
2,german pink,beefsteak,pink,https://www.seedsavers.org/site/img/seo-images/0440A-german-pink-tomato-organic.jpg
46,gold medal,heirloom,gold,https://www.seedsavers.org/site/img/seo-images/0825-gold-medal-tomato.jpg
37,gold rush currant,cherry,gold,https://www.seedsavers.org/site/img/seo-images/1229-gold-rush-currant-tomato-organic.jpg
39,green grape,grape,green,https://www.seedsavers.org/site/img/seo-images/1231-gree-grape-tomato.jpg
47,green zebra,heirloom,green,https://www.seedsavers.org/site/img/seo-images/0443C-tomato-green-zebra.jpg
29,hartman's yellow gooseberry,cherry,yellow,https://www.seedsavers.org/site/img/seo-images/1481-hartmans-yellow-gooseberry-tomato-organic.jpg
,hungarian heart,canning,orange,https://www.seedsavers.org/site/img/seo-images/0444-hungarian-heart-tomato.jpg
3,hillbilly potato leaf,beefsteak,yellow,https://www.seedsavers.org/site/img/seo-images/0979-hillbilly-potato-leaf-tomato.jpg
,igleheart,cherry,yellow,https://www.seedsavers.org/site/img/seo-images/0118-igleheart-yellow-cherry-tomato-organic.jpg
30,isis candy cherry,cherry,red-orange,https://www.seedsavers.org/site/img/seo-images/1232-isis-candy-cherry-tomato.jpg
48,italian heirloom,canning,red,https://www.seedsavers.org/site/img/seo-images/0826-italian-heirloom-tomato-organic.jpg
66,japanese trifele black,slicer,black,https://www.seedsavers.org/site/img/seo-images/1460A-japanese-trifele-black-tomato-organic.jpg
67,jaune flamme,slicer,red,https://www.seedsavers.org/site/img/seo-images/0827-jaune-flamme-tomato-organic.jpg
68,john baer,slicer,red,https://www.seedsavers.org/site/img/seo-images/1435-john-baer-tomato-organic.jpg
20,kanner hoell,canning,red,https://www.seedsavers.org/site/img/seo-images/0011-kanner-hoell-tomato-organic.jpg
4,kellogg's breakfast,beefsteak,orange,https://www.seedsavers.org/site/img/seo-images/1057-kelloggs-breakfast-tomato-organic.jpg
5,kolb,beefsteak,pink,https://www.seedsavers.org/site/img/seo-images/1482-tomato-kolb.jpg
31,large red cherrry,cherry,red,https://www.seedsavers.org/site/img/seo-images/0828-large-red-cherry-tomato-organic.jpg
32,lemon drop,cherry,yellow,https://www.seedsavers.org/site/img/seo-images/1233-lemon-drop-tomato-organic.jpg
69,livingston's paragon,slicer,red,https://www.seedsavers.org/site/img/seo-images/0144-livingstons-paragon-tomato-organic.jpg
6,mamie brown's pink,beefsteak,pink,https://www.seedsavers.org/site/img/seo-images/1611-mamie-browns-pink-tomato-organic.jpg
60,martino's roma,roma,red,https://www.seedsavers.org/site/img/seo-images/0259-martinos-roma-tomato-organic.jpg
7,missouri pink love apple,beefsteak,pink,https://www.seedsavers.org/site/img/seo-images/0117-missouri-pink-love-apple-tomato-organic.jpg
63,moonglow,slicer,orange,https://www.seedsavers.org/site/img/seo-images/0446-moonglow-tomato-organic.jpg
8,mortgage lifter (halladay's),beefsteak,red,https://www.seedsavers.org/site/img/seo-images/1380-mortgage-lifter-halladays-tomato.jpg
9,nebraska wedding,beefsteak,orange,https://www.seedsavers.org/site/img/seo-images/0261-nebraska-wedding-tomato-organic.jpg
49,nyagous,heirloom,brown-red,https://www.seedsavers.org/site/img/seo-images/1237-nyagous-tomato-organic.jpg
10,oma's orange,beefsteak,orange,https://www.seedsavers.org/site/img/seo-images/0289-omas-orange-tomato.jpg
11,oma's pink,beefsteak,pink,https://www.seedsavers.org/site/img/seo-images/0290-omas-pink-tomato.jpg
21,opalka,canning,pink,https://www.seedsavers.org/site/img/seo-images/0447A-opalka-tomato-organic.jpg
70,paul robeson,slicer,red,https://www.seedsavers.org/site/img/seo-images/1604A-paul-robeson-tomato-organic.jpg
12,peach blow sutton,beefsteak,pink,https://www.seedsavers.org/site/img/seo-images/1572-peach-blow-sutton-tomato-organic.jpg
50,powers heirloom,heirloom,yellow,https://www.seedsavers.org/site/img/seo-images/1453-tomato-powers-heirloom.jpg
40,principe borghese,grape,red,https://www.seedsavers.org/site/img/seo-images/0823C-principe-borghese-tomato.jpg
54,red fig,pear,red,https://www.seedsavers.org/site/img/seo-images/1235-red-fig-tomato-organic.jpg
51,red zebra,heirloom,red-orange,https://www.seedsavers.org/site/img/seo-images/1317A-red-zebra-tomato-organic.jpg
13,redfield beauty,slicer,red,https://www.seedsavers.org/site/img/seo-images/1483-redfield-beauty-tomato-organic.jpg
57,riesentraube,plum,red,https://www.seedsavers.org/site/img/seo-images/0263A-riesentraube-tomato.jpg
14,rosso sicilian,beefsteak,red,https://www.seedsavers.org/site/img/seo-images/1530-rosso-sicilian-tomato-organic.jpg
22,sheboygan,canning,red,https://www.seedsavers.org/site/img/seo-images/1484-sheboygan-tomato-organic.jpg
71,siberian,slicer,red,https://www.seedsavers.org/site/img/seo-images/1236-siberian-tomato-organic.jpg
15,silvery fir tree,beefsteak,red-orange,https://www.seedsavers.org/site/img/seo-images/0029-silvery-fir-tree-tomato-organic.jpg
62,speckled roman,roma,red-orange,https://www.seedsavers.org/site/img/seo-images/0981A-speckled-roma-tomato-organic.jpg
36,stupice,cocktail,red,https://www.seedsavers.org/site/img/seo-images/0667-stupice-tomato-organic.jpg
38,sweet pea currant,cherry,red,https://www.seedsavers.org/site/img/seo-images/1230-sweet-pea-currant-tomato-organic.jpg
16,tasty evergreen,beefsteak,green,https://www.seedsavers.org/site/img/seo-images/0434-tasty-evergreen-tomato-organic.jpg
33,tommy toe,cherry,red,https://www.seedsavers.org/site/img/seo-images/0265-tommy-toe-tomato.jpg
72,trophy,slicer,red,https://www.seedsavers.org/site/img/seo-images/1183-trophy-tomato.jpg
73,trucker's favorite pink ,slicer,pink,https://www.seedsavers.org/site/img/seo-images/1485-truckers-favorite-tomato-organic.jpg
58,ukranian purple,plum,purple,https://www.seedsavers.org/site/img/seo-images/1234-ukrainian-purple-tomato.jpg
74,varigated,slicer,various,https://www.seedsavers.org/site/img/seo-images/1318-tomato-variegated.jpg
34,velvet red,cherry,red,https://www.seedsavers.org/site/img/seo-images/1226-velvet-red-tomato-organic.jpg
75,wapsipinicon peach,slicer,yellow,https://www.seedsavers.org/site/img/seo-images/1058-wapsipinicon-peach-tomato.jpg
35,white cherry,cherry,yellow-white,https://www.seedsavers.org/site/img/seo-images/1610-white-cherry-tomato-organic.jpg
76,white tomesol,slicer,yellow-white,https://www.seedsavers.org/site/img/seo-images/1620-white-tomesol-tomato.jpg
17,whittemore heirloom,beefsteak,red,https://www.seedsavers.org/site/img/seo-images/0181-whittemore-heirloom-tomato-organic.jpg
23,wisconsin 55,canning,pink,https://www.seedsavers.org/site/img/seo-images/1059-wisconsin-55-tomato-organic.jpg
24,wisconsin chief,canning,red,https://www.seedsavers.org/site/img/seo-images/0224-wisconsin-chief-tomato-organic.jpg
